j,v1,v2,v3,time
0,0.0649576,0.0649576,1.99198,0.000976563
2,0.0629938,0.0619867,1.96399,0.00180053
4,0.0609796,0.0609796,1.89898,0.00378418
6,0.0589654,0.0579583,1.84198,0.00564575
8,0.0569512,0.0569512,1.78598,0.0074768
10,0.0559945,0.0549874,1.73497,0.00930785
12,0.0529732,0.0539803,1.68296,0.0111389
14,0.0499519,0.0539803,1.63497,0.01297
16,0.0499519,0.050959,1.58497,0.014862
18,0.0499519,0.0489952,1.53899,0.0167236
20,0.0489952,0.0489952,1.49297,0.0185547
22,0.046981,0.0459739,1.45198,0.0203552
24,0.0459739,0.0449668,1.40998,0.0221863
26,0.0439597,0.0439597,1.37096,0.0239868
28,0.0429526,0.0429526,1.32796,0.0258179
30,0.0429526,0.0419959,1.29296,0.0276184
32,0.0409888,0.0419959,1.25696,0.0294189
34,0.0409888,0.0399817,1.22196,0.0312805
36,0.0399817,0.0379675,1.18596,0.033081
38,0.0389746,0.0379675,1.15197,0.0349121
40,0.0379675,0.0369604,1.121,0.0367126
42,0.0369604,0.0349965,1.08998,0.0385437
44,0.0339894,0.0349965,1.05795,0.0403442
46,0.0329823,0.0329823,1.02996,0.0421448
48,0.0339894,0.0329823,0.999995,0.0439758
50,0.0319753,0.0319753,0.97099,0.0457764
52,0.0319753,0.0329823,0.945964,0.0476074
54,0.0319753,0.0299611,0.918974,0.0494079
56,0.0309682,0.0299611,0.892991,0.0512085
58,0.028954,0.0309682,0.867965,0.0530395
60,0.028954,0.0279972,0.843996,0.0548401
62,0.028954,0.0279972,0.820984,0.0566711
64,0.025983,0.0269901,0.798979,0.0584717
66,0.0269901,0.025983,0.775967,0.0603027
68,0.0269901,0.024976,0.753962,0.0621338
70,0.024976,0.0239689,0.733971,0.0639343
72,0.024976,0.024976,0.71398,0.0657654
74,0.0239689,0.0229618,0.694996,0.0675659
76,0.0239689,0.0239689,0.676969,0.069397
78,0.0229618,0.0229618,0.655971,0.0711975
80,0.0219547,0.0219547,0.638951,0.0730285
82,0.0219547,0.0219547,0.619968,0.0748291
84,0.0209979,0.0209979,0.604962,0.0766601
86,0.0189837,0.0209979,0.589,0.0784607
88,0.0209979,0.0209979,0.572987,0.0802917
90,0.0199908,0.0199908,0.557981,0.0820923
92,0.0189837,0.0229618,0.542975,0.0839233
94,0.0189837,0.0189837,0.527969,0.0857238
96,0.0189837,0.0179766,0.512964,0.0875244
98,0.0169695,0.0169695,0.500979,0.0893554
100,0.0189837,0.0159625,0.486981,0.091156
102,0.0179766,0.0159625,0.472982,0.092987
104,0.0169695,0.0169695,0.462962,0.0947876
106,0.0169695,0.0149554,0.448963,0.0966187
108,0.0169695,0.0169695,0.436978,0.0984192
110,0.0149554,0.0139986,0.425951,0.10025
112,0.0149554,0.0149554,0.414973,0.102081
114,0.0149554,0.0139986,0.400975,0.104309
116,0.0159625,0.0149554,0.389997,0.10614
118,0.0159625,0.0139986,0.381991,0.107941
120,0.0149554,0.0139986,0.371971,0.109772
122,0.0139986,0.0129915,0.360993,0.111572
124,0.0139986,0.0129915,0.352987,0.113403
126,0.0129915,0.0139986,0.328968,0.115204
128,0.0129915,0.0119844,0.333953,0.117035
130,0.0119844,0.0119844,0.322975,0.118835
132,0.0129915,0.0109773,0.314969,0.120666
134,0.0109773,0.0109773,0.306962,0.122467
136,0.0129915,0.00997024,0.297999,0.124298
138,0.0109773,0.0119844,0.291957,0.126099
140,0.00997024,0.0119844,0.284958,0.12793
142,0.00997024,0.0119844,0.276951,0.12973
144,0.0109773,0.0109773,0.269952,0.131531
146,0.00997024,0.00997024,0.262952,0.133362
148,0.00997024,0.00997024,0.255953,0.135162
150,0.00896315,0.00997024,0.250968,0.136993
152,0.00997024,0.0109773,0.242962,0.138794
154,0.00896315,0.00896315,0.236969,0.140625
156,0.00896315,0.00997024,0.227956,0.143097
158,0.00997024,0.00795605,0.222971,0.144928
160,0.00896315,0.00896315,0.216979,0.146759
162,0.00896315,0.00795605,0.210986,0.14856
164,0.0109773,0.00896315,0.206958,0.150391
166,0.00896315,0.00896315,0.199959,0.152191
168,0.00699931,0.00896315,0.193966,0.154022
170,0.00699931,0.00795605,0.188981,0.156494
172,0.00896315,0.00896315,0.184953,0.158356
174,0.00795605,0.00699931,0.177954,0.160858
176,0.00699931,0.00795605,0.171961,0.163513
178,0.00795605,0.00699931,0.16899,0.165375
180,0.00795605,0.00997024,0.161991,0.167175
182,0.00896315,0.00795605,0.15897,0.169006
184,0.00699931,0.00699931,0.154992,0.170837
186,0.00699931,0.00795605,0.149956,0.172638
188,0.00599222,0.00699931,0.147993,0.174469
190,0.00599222,0.00997024,0.142957,0.176269
192,0.00699931,0.00699931,0.140993,0.178101
194,0.00699931,0.00599222,0.136965,0.179932
196,0.00599222,0.00599222,0.132987,0.181732
198,0.00699931,0.00699931,0.129966,0.183563
200,0.00599222,0.00699931,0.126995,0.185364
202,0.00599222,0.00599222,0.12498,0.187195
204,0.00795605,0.00699931,0.119995,0.189026
206,0.00599222,0.00599222,0.117981,0.190826
208,0.00599222,0.00599222,0.112996,0.192657
210,0.00699931,0.00498512,0.111989,0.194458
212,0.00699931,0.00599222,0.109975,0.196289
214,0.00599222,0.00498512,0.107961,0.19812
216,0.00498512,0.00498512,0.103983,0.199921
218,0.00599222,0.00498512,0.102975,0.201752
220,0.00397803,0.00599222,0.0989974,0.203552
222,0.00498512,0.00599222,0.0959761,0.205383
224,0.00498512,0.00498512,0.0929548,0.207214
226,0.00599222,0.00498512,0.0919981,0.209015
228,0.00498512,0.00498512,0.090991,0.210846
230,0.00498512,0.00498512,0.0879698,0.212646
232,0.00498512,0.00498512,0.0859556,0.214478
234,0.00498512,0.00397803,0.0829846,0.216278
236,0.00498512,0.00498512,0.0819775,0.218109
238,0.00498512,0.00397803,0.0809704,0.21991
240,0.00599222,0.00699931,0.0789562,0.221741
