j,vdac,v1,v2,time
0,0.0,0.0879698,0.0569512,0.399841
5,0.0646555,0.129966,0.0579583,0.802917
10,0.129361,0.187974,0.0859556,1.20618
15,0.194067,0.249961,0.125988,1.60886
20,0.258773,0.302984,0.162998,2.01138
25,0.323479,0.363964,0.200966,2.41391
30,0.388185,0.420966,0.239991,2.81644
35,0.45289,0.484967,0.279972,3.21896
40,0.517596,0.542975,0.320961,3.62149
45,0.582302,0.600984,0.36195,4.02402
50,0.647008,0.658993,0.399968,4.42651
55,0.711714,0.718965,0.438993,4.82904
60,0.77642,0.777981,0.47696,5.23157
65,0.841126,0.850995,0.519963,5.63409
70,0.905832,0.911975,0.565987,6.07495
75,0.970537,0.97099,0.605969,6.47806
80,1.03524,1.03096,0.643987,6.88031
85,1.09995,1.08897,0.684976,7.28287
90,1.16465,1.14799,0.721986,7.68539
95,1.22936,1.206,0.760961,8.08795
100,1.29407,1.27397,0.799986,8.4895
105,1.35877,1.33299,0.844953,8.89209
110,1.42348,1.39296,0.883977,9.29465
115,1.48818,1.45097,0.924966,9.69717
120,1.55289,1.50999,0.96097,10.0997
125,1.6176,1.56996,1.00297,10.5023
130,1.6823,1.64499,1.04098,10.9048
135,1.74706,1.71896,1.09295,11.3073
140,1.81171,1.76599,1.14099,11.7935
145,1.87642,1.82098,1.17196,12.1957
150,1.94112,1.87798,1.20796,12.598
155,2.00588,1.94797,1.24799,13.0005
160,2.07054,1.99299,1.29397,13.403
165,2.13524,2.05598,1.327,13.8055
170,2.19995,2.11495,1.36698,14.208
175,2.2647,2.18499,1.40696,14.6105
180,2.32936,2.22996,1.45299,15.013
185,2.39407,2.28898,1.48199,15.4155
190,2.45877,2.34497,1.52197,15.818
195,2.52353,2.43495,1.55999,16.2206
200,2.58818,2.48098,1.61397,16.6231
205,2.65289,2.54296,1.646,17.0256
210,2.7176,2.60399,1.68396,17.4664
215,2.78235,2.67998,1.72299,17.8685
220,2.84701,2.68698,1.76795,18.2708
225,2.91171,2.68698,1.80099,18.6737
230,2.97642,2.68698,1.84097,19.0762
235,3.04117,2.68698,1.87899,19.4778
240,3.10583,2.68698,1.92199,19.8803
245,3.17054,2.68698,1.94797,20.2829
250,3.23524,2.68698,1.97698,20.6854
